numero,archivo,en,es
46,0046.mp3,"I don't want to sleep too much, because otherwise I can't sleep at night",no quiero dormir mucho porque sino en la noche no puedo dormir
47,0047.mp3,I had one here that I was going to lend you but I broke it stuffing clothes in,yo tenia una aquí que le iba a prestar a ud pero la dañe metiendo ropa
48,0048.mp3,One of the reasons you miss a flight is arriving late,una de las razones que uno pierde el vuelo es por llegar tarde
49,0049.mp3,It's been 5 months since I went to the doctor,han pasado 5 meses desde fui al doctor
50,0050.mp3,We're still in time to submit the application,todavia estamos a tiempo de hacer la solicitud
51,0051.mp3,"Try to do it as fast as you can, today if possible","trate de hacerlo lo mas rapido que puedas, si es posible hoy mismo"
52,0052.mp3,"On top of that, on Friday they passed a new law.",de por si que el viernes sacaron una nueva ley nueva.
53,0053.mp3,"I'm glad, you're going to be a European citizen","Me alegra, vas a ser ciudadano europeo"
54,0054.mp3,At that moment I started to laugh,en ese momento me empece a reir
55,0055.mp3,When I was listening to her it was on speaker and she heard everything,Cuando la estaba escuchando estaba en altavoz y ella escucho todo
56,0056.mp3,"My dog wakes me up every day at 7, but I'm usually already awake by then","Mi perro me levanta todos los dias a las 7, pero normalemente ya estoy despierto a esa hora"
57,0057.mp3,"I came to buy fish; when that happens, call me right away","yo me vine a comprar pescado, cuando pase eso llameme de una vez"
58,0058.mp3,They sent a message about the machine and it arrives today,mandaron un mesaje sobre la maquina y llegan hoy
59,0059.mp3,Let's run a test to see if the machine is good or what.,vamos hacer una prueba para ver si la maquina es buena o que.
60,0060.mp3,"The machine hasn't arrived, it's delayed. They got delayed","no ha llegado la manquina, esta retrazada. Ellos se retrezaron"
61,0061.mp3,"It's a bit cold here, I'd better go home","esta haciendo un poco de frio aquí, mejor me voy a casa"
62,0062.mp3,"Order those, I know you're going to like them",pide esas que yo se que te van a gustar
63,0063.mp3,Are you sure it's cheaper here? Because this is where the millionaires live,estas seguro que aquí es mas barato? Porque por aquí viven los millonarios
64,0064.mp3,"You're running late, you're not going to make it","vas tarde, no vas a llegar"
65,0065.mp3,"I'm heading out now, I'll be there in 20 minutes, if anything we'll meet there","yo ya voy saliendo, en 20 minutos estoy alla, cualquier cosa nos vemos alla"
66,0066.mp3,"I'm going straight to the optician's, but if you're nearby let me know and I'll pick you up on the way",yo voy directo a la optica pero si estas cerca dime y te recojo por el camino
67,0067.mp3,"If you want, come over, we'll have a coffee here and then go to the bank","si quieres vente para acá, aquí nos toamaos un café y luego nos vamos al banco"
68,0068.mp3,"Tell me quick, the flight is already leaving",Dime rapido que ya está saliendo el vuelo
69,0069.mp3,"If you have money, buy them yourself and I'll pay you back later",Si tiene plata ahí comprelos ud y yo despues te lo devuelvo
70,0070.mp3,I have to leave now to pick up the computer,Tengo que salir ahora para buscar el computador
71,0071.mp3,"I hope that when I get there, she hasn't eaten it","Espero que cuando llegue, ella no se lo haya comido"
72,0072.mp3,"It doesn't matter if there isn't any here, we'll look for it in another store",no importa sino hay aquí lo buscamos en otra tienda
73,0073.mp3,"There in that link, when you click it 3 options will appear, then select one and click it","Ahí en ese link, cuando le des click te van aparecer 3 opciones, entonces selecciona una y le das click"
74,0074.mp3,"I mean in the same link, that's everything I've told you","en el mismo link me refiero, ya con eso le dije todo"
75,0075.mp3,I imagine both lenses should have the same prescription,yo me imagino que ambos cristales deberian tener la misma formula
76,0076.mp3,I'll get to cleaning the house,me pondre a limpiar la casa
77,0077.mp3,What time do you get off work? I forgot you worked and made a living from physical work,¿a que hora sale del trabajo ud? Se me olvido que ud trabajaba y vivia del fisico
78,0078.mp3,How long does it take you to do that?,¿Cuánto tardas en hacer eso?
79,0079.mp3,I have some money saved that I can invest and use for that,Yo tengo un dinero guardado que puedo invertir y usarlo para eso
80,0080.mp3,"On Thursday I work late here, so I'd leave on Friday morning",Yo el jueves trabajo hasta tarde aquí entonces yo me iría el viernes en la mañan
81,0081.mp3,"In the morning I go to the bank, in the afternoon downtown, and I'll get to your place at night","Yo en la mañana voy al banco, en la tarde al centro y llegare a su casa en la noche"
82,0082.mp3,"I have a lot of pending things to do, I'll be busy","tengo que hacer muchas cosas pendiente, estaré entretenido"
83,0083.mp3,Today I went to a phone store and saw several; the only one I liked was the Galaxy S30,"hoy un a una tienda de telefonos y vi varios, el unico que me gustó fue el galaxys s30"
84,0084.mp3,"I'm already 43, don't let my teenage face fool you","Yo ya tengo 43 años, que mi cara de adolecente no te engañe"
85,0085.mp3,What are you doing around here all alone?,que haces por aquí tan sola
86,0086.mp3,"I need to understand this first, because it gets hard for me if I don't",necesito primero entender esto porque se me complica si no lo entiendo
87,0087.mp3,How much is left to finish?,¿Cuánto falta para terminar?
88,0088.mp3,How long does it take to do the migration?,cuanto tiempo lleva hacer la migración?
89,0089.mp3,I find it hard to interpret the client's requirements,me cuesta interpretar las exigencias del cliente
90,0090.mp3,"First of all, let's organize what we're going to do and how.","Antes de nada, vamos organizar que vamos hacer y como."
91,0091.mp3,It's been compiling for 2 hours and I don't know how much longer it might take,lleva 2 horas compilando y no se cuanto mas pueda tardar
92,0092.mp3,We hope to do it fast; that's why we've put in more resources,"esperamos poder hacerlo rapido, para eso hemos metido mas recurso"
93,0093.mp3,It's not the way you say; the thing is the boss likes things done in order,"no es asi como dices, lo que pasa es que al jefe le gustan las corsas ordenadas"
94,0094.mp3,The kid was watching for you to get up,el niño estaba pendiente de que te pararas
95,0095.mp3,I need to review that before continuing,necesito revisar eso antes de continuar
96,0096.mp3,That's the reason the program takes so long,esa es la razón por la que el programa tarda tanto
97,0097.mp3,Without the formula we can't continue,Sin la formula no podemos sergir
98,0098.mp3,I'm 3 euros short of the total,Me faltan 3 euros para completar
99,0099.mp3,I need more time to finish,Me falta mas tiempo para terminar
100,0100.mp3,"Good luck doesn't come on its own, you have to go after it","la buena suerte no llega sola, hay que buscarla"
101,0101.mp3,"Sometimes dreams come true, other times you have to work to achieve them","algunas veces los sueños se cumplen, otras veces tienes que trabajar para lograrlos"
102,0102.mp3,I like to go fast when I drive; that's why I bought an expensive car,"Me gusta correr cuando manejo, para eso compre un carro costoso"
103,0103.mp3,I'm going to try to get along with him,Voy a tratar de llevarme bien con el
104,0104.mp3,I'll try to do it better next time,Tratare de hacerlo mejor la proxima vez
105,0105.mp3,Salt is essential for food,La sal es imprecidinble para la comida
106,0106.mp3,"It's not my fault, that depends on the software","no es mi culpa, eso depende del software"
107,0107.mp3,How long do I have to wait for a new version to come out?,Cuanto tiempo tengo que esperar para que salga una nueva version?
108,0108.mp3,Better do it now; later might be too late,Es mejor que lo hagas ahora que despues puede ser tarde
109,0109.mp3,"Don't bother him, he's sleeping peacefully",No lo molestes que esta tranquilo durmiendo
110,0110.mp3,"Alright, I'll keep an eye on that","De acuerdo, estare pendiente con eso"
111,0111.mp3,"If you say it's ready, then I can test it now, right?",si tu dices que ya está listo entonces ya lo puedo probar verdad?
112,0112.mp3,What matters here isn't what you're going to do but how you do it,Lo importante aquí no es lo que van hacer sino como lo hagan
113,0113.mp3,"That doesn't depend on me, it depends on the work they do.","Eso no depende de mi, depende del trabajo que ellos hagan."
114,0114.mp3,Maybe everything will go well and nothing will happen.,A lo mejor todo sale bien y no pase nada.
115,0115.mp3,"Or better, let's talk about it in person",o mejor lo hablamos personalmente
116,0116.mp3,Generate a blank project for me,Generame un proyecto en blanco
